combee ***
exclude because these characters appear within numbered html entities:
& &#38;
# &#35;
; &#59;
*** comenn

! &#33;
" &#34;
$ &#36;
% &#37;
' &#39;
( &#40;
) &#41;
* &#42;
+ &#43;
, &#44;
- &#45;
. &#46;
/ &#47;
: &#58;
< &#60;
= &#61;
> &#62;
? &#63;
@ &#64;
[ &#91;
\ &#92;
] &#93;
^ &#94;
_ &#95;
` &#96;
{ &#123;
| &#124;
} &#125;
~ &#126;
« &#171;
» &#187;
‘ &#8216;
’ &#8217;
‚ &#8218;
“ &#8220;
” &#8221;
„ &#8222;
‹ &#8249;
› &#8250;
" &#65282;
